слово;количесво в тексте
Фемистоклюс;9
дай;8
песню;8
позади;8
сидит;8
ступай;8
той;8
могла;8
невесть;8
навстречу;8
придется;8
сзади;8
смотри;8
минуты;8
бывают;8
К;8
счет;8
конце;8
показав;8
сын;8
Почему;8
скажут;8
чему;8
хотелось;8
ничем;8
своему;8
страшно;8
богу;8
всякую;8
последней;8
помещика;8
характера;8
тонкие;8
увидели;8
ведает;8
послал;8
Хотя;8
сомнения;8
общество;8
"""Вот";8
иначе;8
носом;8
наружности;8
пошла;8
лета;8
дому;8
делу;8
извините;8
третий;8
узнал;8
расположение;8
чем-нибудь;8
здоровье;8
подбородок;8
всякими;8
услышал;8
положении;8
При;8
голос;8
пора;8
покамест;8
тысячи;8
поговорить;8
налево;8
желая;8
стороне;8
избы;8
пруд;8
славный;8
моей;8
мухи;8
лошади;8
сторонам;8
прокурора;8
должна;8
каким-то;8
окон;8
вид;8
Ей-богу;8
барина;8
вообразить;8
губернаторскую;8
этим;8
чего-нибудь;8
шашки;8
трубку;8
странно;8
глядя;8
улицу;8
вист;8
само;8
раза;8
судырь;8
принял;8
выходит;8
твой;8
воздухе;8
поле;8
рассказать;8
кто-нибудь;8
Для;8
пятнадцать;8
губернатора;8
крепость;8
ежеминутно;8
внимания;8
ваша;8
Ивановна;8
Есть;8
отвечала;8
б;8
душенька;8
двумя;8
разговора;8
помещица;8
хуже;8
какою-то;8
щеки;8
лицу;8
множество;8
бойко;8
кучу;8
маленькие;8
написано;8
капитан-исправник;8
удовольствия;8
делал;8
охотник;8
купчую;8
извольте;8
мошенник;8
баба;8
Хорошо;8
деревне;8
приятеля;8
десять;8
крыльцо;8
пожалуйста;8
собак;8
белокурый;8
Петровна;8
Русь;7
светом;7
тобою;7
тройка;7
вскрикнул;7
впереди;7
части;7
автора;7
легко;7
позабыв;7
приговаривая;7
причины;7
отвечать;7
совершенный;7
беда;7
говорила;7
прочь;7
носу;7
Один;7
весело;7
Разве;7
случится;7
сколько-нибудь;7
говоришь;7
случается;7
образ;7
мыслей;7
света;7
самым;7
вечно;7
причин;7
приятно;7
Селифана;7
далее;7
диво;7
пожалуй;7
платить;7
недавно;7
даст;7
нескольких;7
глазом;7
совести;7
смотреть;7
напротив;7
отказаться;7
ума;7
советник;7
необыкновенно;7
обоих;7
служил;7
историю;7
слышал;7
предприятие;7
казну;7
пот;7
бедный;7
собственного;7
Или;7
видя;7
недели;7
начинал;7
случаях;7
дни;7
словах;7
держал;7
знаешь;7
лбу;7
пола;7
сделано;7
"""Ах";7
долг;7
думаете;7
Дело;7
пошло;7
сделался;7
лицом;7
шапку;7
внимательно;7
попробовал;7
тридцать;7
хлеба;7
деревянные;7
видишь;7
конца;7
моего;7
твои;7
нею;7
верст;7
поскорее;7
приказал;7
генерал-губернатора;7
экипажа;7
читателю;7
пальцем;7
бумажки;7
продать;7
конь;7
сударь;7
тут-то;7
вроде;7
вообще;7
смерть;7
напрасно;7
удовольствием;7
делается;7
Такой;7
"""Эк";7
обо;7
хороших;7
думать;7
слушал;7
та;7
продали;7
какие-нибудь;7
идет;7
превосходительство;7
половину;7
управы;7
лицах;7
хороший;7
Павла;7
крестьяне;7
бока;7
самую;7
бабы;7
мужчины;7
жена;7
покупать;7
бумажку;7
Дамы;7
платком;7
Во;7
стул;7
первые;7
Отчего;7
готова;7
фестончики;7
закричал;7
дамами;7
заснул;7
издали;7
давай;7
блюда;7
скажи;7
набок;7
позабыл;7
Митяй;7
местами;7
искусно;7
